n,brute_force_time_s,approx_mst_total_time_s,approx_mst_runs,nearest_neighbor_total_time_s,nearest_neighbor_runs
5,0.144133,0.074964,5808,0.278586,54348
7,0.179845,0.307524,12988,0.488186,66667
9,0.189493,0.200088,7988,0.319559,28572
11,3.987984,0.281352,7486,0.454218,31447
13,909.144282,0.122721,2593,0.475882,23365
14,1800.023555,0.282408,5031,0.458215,22223
15,,0.301517,4996,0.445494,19532
50,,0.348416,757,0.836447,4099
100,,0.420471,237,0.448116,651
200,,0.415958,74,0.840133,304
500,,0.480562,12,0.509321,28
1000,,0.663340,4,0.504758,7
2000,,0.572631,1,0.574436,2
5000,,4.252419,1,1.849690,1
10000,,15.455241,1,6.891183,1
