N,p,run_id,outcome,t_event,period,glider_seen,t_glider
30,0.1,0,oscillating,69,2.0,1,1.0
30,0.1,1,still,6,,0,
30,0.1,2,oscillating,258,2.0,1,2.0
30,0.1,3,oscillating,267,2.0,1,1.0
30,0.1,4,still,34,,1,9.0
30,0.1,5,still,4,,1,0.0
30,0.1,6,oscillating,71,2.0,1,0.0
30,0.1,7,still,89,,1,6.0
30,0.1,8,still,20,,1,0.0
30,0.1,9,oscillating,125,2.0,1,14.0
30,0.1,10,still,33,,1,2.0
30,0.1,11,oscillating,243,2.0,1,3.0
30,0.1,12,oscillating,109,2.0,1,23.0
30,0.1,13,extinct,3,,0,
30,0.1,14,still,293,,1,1.0
30,0.1,15,oscillating,121,2.0,1,7.0
30,0.1,16,still,5,,0,
30,0.1,17,still,165,,1,1.0
30,0.1,18,extinct,56,,1,7.0
30,0.1,19,still,6,,0,
30,0.1,20,still,76,,1,2.0
30,0.1,21,still,9,,0,
30,0.1,22,extinct,3,,0,
30,0.1,23,still,64,,1,11.0
30,0.1,24,still,384,,1,19.0
30,0.1,25,oscillating,36,2.0,1,1.0
30,0.1,26,still,6,,0,
30,0.1,27,oscillating,80,2.0,1,1.0
30,0.1,28,still,6,,0,
30,0.1,29,still,7,,1,3.0
30,0.1,30,still,21,,1,13.0
30,0.1,31,still,7,,1,1.0
30,0.1,32,oscillating,12,2.0,0,
30,0.1,33,still,223,,1,9.0
30,0.1,34,oscillating,15,2.0,0,
30,0.1,35,oscillating,74,2.0,1,6.0
30,0.1,36,oscillating,317,2.0,1,5.0
30,0.1,37,still,9,,1,1.0
30,0.1,38,oscillating,198,2.0,1,3.0
30,0.1,39,still,8,,1,2.0
30,0.1,40,oscillating,247,2.0,1,7.0
30,0.1,41,oscillating,111,2.0,1,3.0
30,0.1,42,oscillating,122,2.0,1,0.0
30,0.1,43,oscillating,5,2.0,0,
30,0.1,44,oscillating,238,2.0,1,1.0
30,0.1,45,oscillating,63,2.0,1,5.0
30,0.1,46,still,62,,1,3.0
30,0.1,47,still,16,,0,
30,0.1,48,oscillating,13,2.0,0,
30,0.1,49,oscillating,15,2.0,0,
30,0.1,50,oscillating,10,2.0,1,1.0
30,0.1,51,oscillating,140,2.0,1,3.0
30,0.1,52,oscillating,22,2.0,1,1.0
30,0.1,53,oscillating,119,2.0,1,1.0
30,0.1,54,oscillating,189,2.0,1,1.0
30,0.1,55,oscillating,37,2.0,1,0.0
30,0.1,56,still,232,,1,3.0
30,0.1,57,still,307,,1,3.0
30,0.1,58,oscillating,10,2.0,1,3.0
30,0.1,59,oscillating,68,2.0,1,22.0
30,0.1,60,still,9,,1,3.0
30,0.1,61,still,230,,1,1.0
30,0.1,62,oscillating,53,2.0,1,14.0
30,0.1,63,still,62,,1,12.0
30,0.1,64,oscillating,5,2.0,0,
30,0.1,65,still,9,,0,
30,0.1,66,oscillating,6,2.0,0,
30,0.1,67,still,65,,1,5.0
30,0.1,68,oscillating,384,2.0,1,4.0
30,0.1,69,oscillating,5,2.0,0,
30,0.1,70,oscillating,37,6.0,1,1.0
30,0.1,71,oscillating,171,2.0,1,17.0
30,0.1,72,still,6,,0,
30,0.1,73,oscillating,96,2.0,1,2.0
30,0.1,74,still,12,,1,2.0
30,0.1,75,still,9,,0,
30,0.1,76,still,44,,1,0.0
30,0.1,77,extinct,22,,0,
30,0.1,78,still,7,,1,1.0
30,0.1,79,still,7,,0,
30,0.1,80,oscillating,179,2.0,1,0.0
30,0.1,81,oscillating,8,2.0,0,
30,0.1,82,oscillating,14,2.0,0,
30,0.1,83,oscillating,228,2.0,1,9.0
30,0.1,84,still,145,,1,2.0
30,0.1,85,oscillating,20,2.0,1,9.0
30,0.1,86,still,8,,0,
30,0.1,87,oscillating,64,2.0,1,1.0
30,0.1,88,still,36,,1,10.0
30,0.1,89,oscillating,11,2.0,0,
30,0.1,90,oscillating,7,2.0,0,
30,0.1,91,still,273,,1,1.0
30,0.1,92,still,211,,1,1.0
30,0.1,93,oscillating,15,2.0,0,
30,0.1,94,still,5,,0,
30,0.1,95,extinct,3,,0,
30,0.1,96,still,7,,0,
30,0.1,97,oscillating,10,2.0,0,
30,0.1,98,still,15,,1,4.0
30,0.1,99,still,191,,1,7.0
30,0.1,100,oscillating,201,2.0,1,1.0
30,0.1,101,still,14,,1,3.0
30,0.1,102,still,65,,1,12.0
30,0.1,103,oscillating,40,2.0,1,2.0
30,0.1,104,oscillating,85,2.0,1,1.0
30,0.1,105,oscillating,54,2.0,1,17.0
30,0.1,106,oscillating,140,2.0,1,1.0
30,0.1,107,oscillating,49,2.0,1,1.0
30,0.1,108,oscillating,6,2.0,1,0.0
30,0.1,109,oscillating,33,2.0,1,2.0
30,0.1,110,still,9,,1,1.0
30,0.1,111,oscillating,113,2.0,1,13.0
30,0.1,112,oscillating,11,2.0,0,
30,0.1,113,oscillating,207,2.0,1,1.0
30,0.1,114,still,86,,1,1.0
30,0.1,115,still,61,,1,2.0
30,0.1,116,extinct,7,,1,4.0
30,0.1,117,still,8,,0,
30,0.1,118,still,37,,1,4.0
30,0.1,119,oscillating,121,2.0,1,4.0
30,0.1,120,oscillating,12,2.0,1,1.0
30,0.1,121,oscillating,8,2.0,0,
30,0.1,122,active_end,500,,1,14.0
30,0.1,123,still,10,,0,
30,0.1,124,oscillating,263,2.0,1,0.0
30,0.1,125,still,124,,1,3.0
30,0.1,126,still,173,,1,5.0
30,0.1,127,still,68,,1,3.0
30,0.1,128,extinct,38,,1,0.0
30,0.1,129,oscillating,247,2.0,1,18.0
