N,p,Extinct_pct,Still_pct,Oscillating_pct,ActiveEnd_pct,Glider_seen_pct,Avg_t_glider
30,0.1,3.5,40.5,55.0,1.0,76.5,4.98
30,0.2,0.0,20.0,76.0,4.0,100.0,0.24
30,0.3,0.0,21.5,76.0,2.5,100.0,0.0
30,0.4,0.0,22.5,68.5,9.0,100.0,0.0
50,0.1,0.0,6.0,82.5,11.5,100.0,2.23
50,0.2,0.0,0.5,73.5,26.0,100.0,0.02
50,0.3,0.0,2.5,61.0,36.5,100.0,0.0
50,0.4,0.0,2.0,67.5,30.5,100.0,0.0
80,0.1,0.0,0.0,48.5,51.5,100.0,0.7
80,0.2,0.0,0.0,21.0,79.0,100.0,0.0
80,0.3,0.0,0.0,23.5,76.5,100.0,0.0
80,0.4,0.0,0.0,20.0,80.0,100.0,0.0
